zapis,cas_ms,cas_min,temperatura_C,zracna_vlaga_pct,svetloba_lux,zemlja_pct,zemlja_raw,temp_ok,vlaga_ok,svetloba_ok,zemlja_ok
1,300000,5.000,26.0,52.0,72.5,96.5,1180,1,1,1,1
2,600000,10.000,25.9,51.0,74.2,96.5,1180,1,1,1,1
3,900000,15.000,25.8,51.0,76.7,96.5,1180,1,1,1,1
4,1200000,20.000,26.0,51.0,79.2,96.6,1179,1,1,1,1
5,1500000,25.000,25.8,50.0,63.3,97.0,1173,1,1,1,1
6,1800000,30.000,25.9,47.0,64.2,96.8,1176,1,1,1,1
7,2100000,35.000,26.0,49.0,67.5,96.9,1175,1,1,1,1
8,2400000,40.000,26.0,46.0,69.2,96.9,1174,1,1,1,1
9,2700000,45.000,26.0,50.0,83.3,96.9,1174,1,1,1,1
10,3000000,50.000,25.9,49.0,75.0,96.9,1174,1,1,1,1
11,3300000,55.000,26.0,49.0,79.2,96.9,1175,1,1,1,1
12,3600000,60.000,26.1,48.0,83.3,96.7,1177,1,1,1,1
13,3900000,65.000,26.2,46.0,86.7,96.9,1175,1,1,1,1
14,4200000,70.000,26.3,44.0,90.8,96.7,1178,1,1,1,1
15,4500000,75.000,26.4,47.0,114.2,96.9,1175,1,1,1,1
16,4800000,80.000,26.2,49.0,118.3,97.0,1173,1,1,1,1
17,5100000,85.000,26.0,52.0,124.2,96.8,1176,1,1,1,1
18,5400000,90.000,26.0,54.0,131.7,96.9,1175,1,1,1,1
19,5700000,95.000,26.0,54.0,136.7,96.9,1175,1,1,1,1
20,6000000,100.000,26.0,55.0,145.8,97.0,1173,1,1,1,1
21,6300000,105.000,26.2,57.0,150.0,98.8,1146,1,1,1,1
22,6600000,110.000,26.1,57.0,155.8,99.1,1142,1,1,1,1
23,6900000,115.000,26.2,58.0,157.5,99.1,1141,1,1,1,1
24,7200000,120.000,26.0,58.0,156.7,99.2,1140,1,1,1,1
25,7500000,125.000,26.0,58.0,155.8,99.2,1140,1,1,1,1
26,7800000,130.000,26.0,57.0,157.5,99.5,1136,1,1,1,1
27,8100000,135.000,26.0,57.0,164.2,99.3,1138,1,1,1,1
28,8400000,140.000,26.0,57.0,178.3,99.3,1139,1,1,1,1
29,8700000,145.000,25.9,56.0,188.3,99.4,1137,1,1,1,1
30,9000000,150.000,26.3,56.0,196.7,99.2,1140,1,1,1,1
31,9300000,155.000,26.0,57.0,201.7,99.1,1141,1,1,1,1
32,9600000,160.000,26.2,57.0,209.2,99.3,1139,1,1,1,1
33,9900000,165.000,26.0,57.0,218.3,99.5,1135,1,1,1,1
34,10200000,170.000,26.0,57.0,231.7,99.5,1136,1,1,1,1
35,10500000,175.000,25.8,56.0,253.3,99.6,1134,1,1,1,1
36,10800000,180.000,25.9,57.0,280.0,99.3,1138,1,1,1,1
37,11100000,185.000,25.9,57.0,307.5,99.2,1140,1,1,1,1
38,11400000,190.000,25.8,57.0,340.0,99.4,1137,1,1,1,1
39,11700000,195.000,25.9,56.0,368.3,99.2,1140,1,1,1,1
40,12000000,200.000,25.9,56.0,406.7,99.3,1139,1,1,1,1
41,12300000,205.000,26.0,57.0,452.5,99.2,1140,1,1,1,1
42,12600000,210.000,25.9,56.0,503.3,99.3,1138,1,1,1,1
43,12900000,215.000,25.9,56.0,560.8,99.2,1140,1,1,1,1
44,13200000,220.000,25.9,56.0,624.2,99.1,1141,1,1,1,1
45,13500000,225.000,26.0,56.0,686.7,99.3,1139,1,1,1,1
46,13800000,230.000,26.4,56.0,755.0,99.3,1138,1,1,1,1
47,14100000,235.000,26.3,56.0,820.0,99.2,1140,1,1,1,1
48,14400000,240.000,26.2,56.0,891.7,99.3,1139,1,1,1,1
49,14700000,245.000,26.2,56.0,964.2,99.1,1141,1,1,1,1
50,15000000,250.000,26.3,56.0,1035.8,99.1,1141,1,1,1,1
51,15300000,255.000,26.2,56.0,1100.0,99.1,1141,1,1,1,1
52,15600000,260.000,26.3,56.0,1168.3,99.3,1139,1,1,1,1
53,15900000,265.000,26.3,56.0,1223.3,99.3,1138,1,1,1,1
54,16200000,270.000,26.3,56.0,1294.2,99.1,1141,1,1,1,1
55,16500000,275.000,26.5,56.0,1350.0,99.1,1142,1,1,1,1
56,16800000,280.000,26.5,55.0,1429.2,99.1,1142,1,1,1,1
57,17100000,285.000,26.5,55.0,1486.7,99.1,1142,1,1,1,1
58,17400000,290.000,26.7,55.0,1530.8,99.3,1138,1,1,1,1
59,17700000,295.000,26.7,55.0,1587.5,98.9,1144,1,1,1,1
60,18000000,300.000,26.8,55.0,1629.2,99.1,1142,1,1,1,1
61,18300000,305.000,26.7,55.0,1644.2,99.1,1141,1,1,1,1
62,18600000,310.000,26.8,55.0,1530.8,99.0,1143,1,1,1,1
63,18900000,315.000,26.9,55.0,1363.3,99.1,1142,1,1,1,1
64,19200000,320.000,26.8,55.0,1145.8,98.9,1144,1,1,1,1
65,19500000,325.000,26.7,55.0,865.8,99.0,1143,1,1,1,1
66,19800000,330.000,26.7,55.0,500.8,99.0,1143,1,1,1,1
67,20100000,335.000,26.7,55.0,349.2,99.1,1142,1,1,1,1
68,20400000,340.000,26.6,55.0,279.2,99.1,1141,1,1,1,1
69,20700000,345.000,26.8,55.0,235.8,99.0,1143,1,1,1,1
70,21000000,350.000,26.6,55.0,253.3,98.9,1145,1,1,1,1
71,21300000,355.000,26.7,55.0,238.3,99.3,1139,1,1,1,1
72,21600000,360.000,26.7,55.0,310.0,99.1,1142,1,1,1,1
73,21900000,365.000,26.7,55.0,234.2,99.3,1139,1,1,1,1
74,22200000,370.000,26.7,55.0,320.8,98.9,1144,1,1,1,1
75,22500000,375.000,26.7,55.0,195.0,99.1,1142,1,1,1,1
76,22800000,380.000,26.7,55.0,193.3,99.1,1141,1,1,1,1
77,23100000,385.000,26.9,55.0,391.7,99.1,1141,1,1,1,1
78,23400000,390.000,26.8,54.0,435.0,99.1,1142,1,1,1,1
79,23700000,395.000,26.8,54.0,499.2,98.9,1145,1,1,1,1
80,24000000,400.000,26.8,55.0,668.3,99.0,1143,1,1,1,1
81,24300000,405.000,26.8,54.0,790.0,99.0,1143,1,1,1,1
82,24600000,410.000,26.9,54.0,837.5,99.2,1140,1,1,1,1
83,24900000,415.000,26.9,55.0,896.7,99.1,1142,1,1,1,1
84,25200000,420.000,26.9,55.0,854.2,99.1,1142,1,1,1,1
85,25500000,425.000,27.0,55.0,621.7,99.1,1141,1,1,1,1
86,25800000,430.000,26.8,55.0,388.3,99.0,1143,1,1,1,1
87,26100000,435.000,26.7,55.0,235.0,99.2,1140,1,1,1,1
88,26400000,440.000,26.7,55.0,128.3,99.1,1141,1,1,1,1
89,26700000,445.000,26.7,55.0,109.2,99.1,1142,1,1,1,1
90,27000000,450.000,26.8,55.0,98.3,99.1,1142,1,1,1,1
91,27300000,455.000,26.7,55.0,93.3,99.1,1141,1,1,1,1
92,27600000,460.000,26.6,55.0,85.8,99.2,1140,1,1,1,1
93,27900000,465.000,26.6,55.0,63.3,99.3,1139,1,1,1,1
94,28200000,470.000,26.5,54.0,47.5,99.2,1140,1,1,1,1
95,28500000,475.000,26.5,55.0,40.8,99.2,1140,1,1,1,1
96,28800000,480.000,26.5,55.0,40.8,99.2,1140,1,1,1,1
97,29100000,485.000,26.5,55.0,37.5,99.2,1140,1,1,1,1
98,29400000,490.000,26.6,55.0,36.7,99.3,1139,1,1,1,1
99,29700000,495.000,26.6,54.0,37.5,99.3,1139,1,1,1,1
100,30000000,500.000,26.7,55.0,37.5,99.1,1141,1,1,1,1
101,30300000,505.000,26.6,55.0,34.2,99.2,1140,1,1,1,1
102,30600000,510.000,26.6,55.0,30.8,99.3,1139,1,1,1,1
103,30900000,515.000,26.6,55.0,27.5,99.2,1140,1,1,1,1
104,31200000,520.000,26.6,55.0,24.2,99.3,1139,1,1,1,1
105,31500000,525.000,26.7,55.0,18.3,99.3,1139,1,1,1,1
106,31800000,530.000,26.5,55.0,14.2,99.3,1139,1,1,1,1
107,32100000,535.000,26.7,55.0,9.2,99.3,1139,1,1,1,1
108,32400000,540.000,26.6,55.0,5.8,99.3,1138,1,1,1,1
